relation,symmetric,anti_symmetric,inverse,composition,label,description
P16,0,1,0,1,transport network,network the infrastructure is a part of
P31,0,0,0,1,instance of,type to which this subject corresponds/belongs. Different from P279 (subclass of); for example: K2 is an instance of mountain; volcano is a subclass of mountain
P127,0,0,0,1,owned by,owner of the subject
P131,0,0,0,1,located in the administrative territorial entity,the item is located on the territory of the following administrative entity. Use P276 for specifying locations that are non-administrative places and for items about events. Use P1382 if the item falls only partially into the administrative entity
P163,0,0,1,0,flag,subject's flag
P167,0,0,1,0,structure replaced by,"the item which replaced this building or structure, at the same geographic location"
P279,0,0,0,1,subclass of,"this item is a subclass (subset) of that item; ALL instances of this item are instances of that item; different from P31 (instance of), e.g.: volcano is a subclass of mountain; Everest is an instance of mountain"
P355,0,1,0,0,child organization/unit,"child organization/unit of a organization/unit; for companies, generally a fully owned separate corp., see business division (P199); opposite of parent org./unit (P749); use instance of (P31) to distinguish org. (Q43229) and org. unit (Q10387680)"
P361,0,0,0,1,part of,"object of which the subject is a part (if this subject is already part of object A which is a part of object B, then please only make the subject part of object A), inverse property of ""has part"" (P527, see also ""has parts of the class"" (P2670))"
P366,0,0,0,1,has use,main use of the subject (includes current and former usage)
P399,1,0,0,0,companion of,two or more astronomic bodies of the same type relating to each other
P406,0,0,1,0,soundtrack release,music release that incorporates music directly recorded from the soundtrack of an audiovisual work
P414,0,1,0,0,stock exchange,exchange on which this company is traded
P457,0,1,0,0,foundational text,text through which an institution or object has been created or established
P461,1,0,0,1,opposite of,item that is in some way the opposite of this item
P466,0,0,0,1,occupant,person or organization occupying property
P514,1,0,0,0,interleaves with,stratigraphic relation in which two units overlap each other marginally
P527,0,1,0,0,has part(s),"part of this subject; inverse property of ""part of"" (P361). See also ""has parts of the class"" (P2670)."
P567,0,1,1,0,underlies,stratigraphic unit that this unit lies under (i.e. the overlying unit)
P568,0,1,1,0,overlies,stratigraphic unit that this unit lies over (i.e. the underlying unit)
P612,0,1,0,0,mother house,principal house or community for a religious institute
P694,0,0,1,0,replaced synonym (for nom. nov.),"previously published name on which a replacement name (avowed substitute, nomen novum) is based"
P748,0,1,0,0,appointed by,"who appointed the person to the position, can be used as a qualifier"
P793,0,1,0,1,significant event,significant or notable events associated with the subject
P814,0,0,0,1,IUCN protected areas category,protected areas category by the World Commission on Protected Areas. Used with dedicated items for each category.
P816,0,1,0,0,decays to,what isotope does this radioactive isotope decay to
P822,0,0,1,0,mascot,"mascot of an organization, e.g. a sports team or university"
P828,0,1,0,0,has cause,"underlying cause, entity that ultimately resulted in this effect"
P837,0,1,0,0,day in year for periodic occurrence,when a specific holiday or periodic event occurs. It can be used as statement or qualifier
P880,0,1,0,0,CPU,central processing unit found within the subject item
P927,0,1,0,0,anatomical location,where in the body or cell does this feature or condition lie or happen
P931,0,0,0,1,place served by transport hub,"territorial entity or entities served by this transport hub (airport, train station, etc.)"
P1001,0,0,0,1,applies to jurisdiction,"the item (institution, law, public office, public register, etc) or statement belongs to or has power over or applies to the value (a territorial jurisdiction: a country, state, municipality, etc)"
P1002,0,1,0,0,engine configuration,configuration of an engine's cylinders
P1142,0,1,0,0,political ideology,political ideology of an organization or person or of a work (such as a newspaper)
P1151,0,0,1,0,topic's main Wikimedia portal,Wikimedia portal associated with this topic
P1158,0,0,0,1,location of landing,location where the craft landed
P1204,0,0,1,0,Wikimedia portal's main topic,primary topic of this Wikimedia portal
P1268,0,0,1,1,represents,"organization, individual, or concept that an entity represents"
P1290,0,1,0,0,godparent,person who is the godparent of a given person
P1312,0,1,0,0,has facet polytope,"facet of a polytope, in the next-lower dimension"
P1322,1,0,0,0,dual to,"dual of a polytope, graph or curve"
P1398,0,0,1,0,structure replaces,"the item this building or structure replaced, at the same geographic location"
P1403,0,0,1,0,original combination,for animals: the combination (binomen or trinomen) where the species-group name used in this taxon name was first published
P1414,0,1,0,0,GUI toolkit or framework,framework or toolkit a program uses to display the graphical user interface
P1420,1,0,0,0,taxon synonym,name listed as synonym of this item's taxon name
P1434,0,0,1,0,takes place in fictional universe,"the subject is a work describing a fictional universe, i.e. whose plot occurs in this universe"
P1445,0,0,1,0,fictional universe described in,"to link a fictional universe with a work that describes it: <universe> ""described in the work:"" <work>"
P1531,0,1,0,0,hybrid of,parent of this hybrid breed or cultivar
